round,unc_md,unc_free,lev_md,lev_free,int1_md,int1_free,intRQ_md,intRQ_free
0.000000000000000000e+00,1.868260634240710871e+00,1.868260634240709983e+00,1.868260634240711759e+00,1.868260634240711093e+00,1.868260634240710871e+00,1.868260634240710871e+00,1.868260634240709539e+00,1.868260634240709539e+00
1.000000000000000000e+00,1.999026580898787930e+00,1.926593479739000303e+00,6.675883948766805354e-01,5.082786578977001035e-01,1.351958838819943942e+00,1.326692667726009134e+00,1.146996971302487012e+00,3.345283268218401940e-01
2.000000000000000000e+00,2.281425170659992840e+00,2.005248992034313282e+00,1.702802456549713517e-01,1.865619129424321287e-01,8.690195114914828212e-01,1.772654726202651243e-01,1.647425018621916371e-01,6.348680675322397604e-02
3.000000000000000000e+00,2.338584658199570399e+00,1.926173251961970756e+00,3.486072827303501320e-01,3.141733567989009046e-01,3.057437167922136823e-01,2.157179258487482709e-01,1.908206797386390319e-01,3.770119996594006873e-01
4.000000000000000000e+00,2.397391610246314642e+00,1.190196627752995617e+00,4.325166260901451842e-01,3.567403119394809696e-01,1.192008439575340806e-01,3.943858602262309554e-01,1.469812678800135330e-01,1.534411537515737445e-01
5.000000000000000000e+00,2.415668483285589474e+00,2.752384879634934833e-01,4.577668183991602247e-01,3.779767918177676655e-01,1.967587819541661842e-01,1.756575126880760562e-01,6.672420069593898440e-02,6.146301377718617343e-02
6.000000000000000000e+00,2.433386278085377441e+00,3.411610037031167497e-01,5.120330258820560143e-01,4.128847900412699889e-01,1.366949683327543102e-02,5.470157216677811775e-03,1.502692865375401463e-02,6.943073481601589464e-03
7.000000000000000000e+00,2.440890876179680369e+00,3.675567027055028912e-01,5.434221475472458263e-01,4.624470105333724490e-01,5.130484258996913238e-02,7.676109249588002059e-02,5.616507651706938858e-02,6.249465594570891708e-02
8.000000000000000000e+00,2.392408679177051134e+00,3.786532989131044524e-01,5.501017185563088496e-01,4.660445989445183290e-01,2.243585638697929291e-02,1.985438291341823716e-02,8.729311268950611796e-03,1.223690194505784937e-02
9.000000000000000000e+00,2.315039502206439614e+00,7.385863489137879656e-02,5.576482636147064298e-01,4.751295614678805457e-01,3.518577270391227974e-02,2.810786520080766487e-02,4.145904510921152863e-02,3.283811937471112219e-02
1.000000000000000000e+01,1.843287441911382718e+00,7.515475848392372260e-02,4.118832135150827245e-01,5.295893066209185207e-01,8.414044596938334564e-03,5.780506207684735220e-03,1.014359082201694157e-02,9.400025055483545930e-03
1.100000000000000000e+01,1.233515805524189268e+00,1.007878420179378620e-01,3.040633753958622010e-01,5.336549279595632633e-01,1.148299539934137525e-02,1.246429611464235088e-02,1.073595357205811909e-02,9.629031683807557154e-03
1.200000000000000000e+01,6.087897502628739632e-01,9.864350138754839070e-02,2.655437972312352790e-01,5.383029981930499419e-01,5.506080317905134511e-03,4.186445759105889702e-03,4.368256617078528949e-03,4.337279274397755693e-03
1.300000000000000000e+01,2.264791898432940709e-01,6.023392544203914900e-02,2.581753317940829739e-01,5.363437110197577518e-01,1.177462017428436945e-02,1.318415974925661593e-02,1.207128017150102192e-02,1.190835854282709314e-02
1.400000000000000000e+01,2.018286076182026212e-01,4.708137089901565098e-02,2.646796614261675007e-01,5.429899244584369677e-01,4.451499098655001957e-03,4.047265757841969278e-03,4.490447847190395803e-03,4.506317571558257455e-03
